season,PlayerName,HomeTeam,AwayTeam,goals,shots,xGoals,xGoalsChain,xGoalsBuildup,assists,keyPasses,xAssists,position,positionOrder,yellowCard,redCard,time
2016,Harry Kane,Everton,Tottenham,0,0,0,0.0985399335622787,0.0395599491894245,0,1,0.0589799843728542,FW,15,0,0,90
2016,Raheem Sterling,Manchester City,Sunderland,0,1,0.056425366550684,0.317553848028183,0.317553848028183,0,1,0.0841980054974556,AMR,11,0,0,90
2016,Sadio Mané,Arsenal,Liverpool,1,3,0.23902428150177,0.753694474697113,0.575350642204285,0,0,0,FWR,14,0,0,90
2016,Raheem Sterling,Stoke,Manchester City,0,2,0.115233562886715,0.632323443889618,0.113490790128708,1,1,0.403599083423615,FWL,16,1,0,90
2016,Harry Kane,Tottenham,Crystal Palace,0,6,0.25727453827858,0.532966673374176,0.324868619441986,1,2,0.714492201805115,AMC,12,0,0,90
2016,Romelu Lukaku,West Bromwich Albion,Everton,0,2,0.468192934989929,0.668430924415588,0.210014522075653,0,2,0.106886237859726,Sub,17,0,0,53
2016,Harry Kane,Tottenham,Liverpool,0,0,0,0.0935115218162537,0.0935115218162537,0,0,0,FW,15,0,0,86
2016,Sadio Mané,Tottenham,Liverpool,0,1,0.093186542391777,0.638299524784088,0.477121412754059,0,1,0.0679915547370911,FWR,14,1,0,90
2016,Romelu Lukaku,Everton,Stoke,0,4,0.639814138412476,0.416686147451401,0.103089019656181,0,3,0.130748987197876,FW,15,0,0,90
2016,Marcus Rashford,Hull,Manchester United,1,3,0.940665423870087,1.10105347633362,0.0896249189972878,0,1,0.097689688205719,Sub,17,1,0,17
2016,Raheem Sterling,Manchester City,West Ham,2,4,0.797399759292603,1.74208068847656,0.787604987621307,0,2,0.157075867056847,FWR,14,0,0,90
2016,Marcus Rashford,Manchester United,Manchester City,0,2,0.0692123621702194,0.175673335790634,0,0,1,0.106460973620415,Sub,17,0,0,42
2016,Raheem Sterling,Manchester United,Manchester City,0,1,0.0536862537264824,0.153468355536461,0.0997821018099785,0,0,0,FWR,14,0,0,62
2016,Leroy Sané,Manchester United,Manchester City,0,0,0,0.10284723341465,0,0,1,0.10284723341465,Sub,17,0,0,28
2016,Son Heung-Min,Stoke,Tottenham,2,3,0.447078138589859,1.46852052211761,0.0782247632741928,1,3,0.975442230701447,AML,13,0,0,90
2016,Harry Kane,Stoke,Tottenham,1,3,1.08725583553314,1.10907423496246,0.0218183826655149,0,0,0,FW,15,0,0,76
2016,Sadio Mané,Liverpool,Leicester,1,2,0.730037212371826,2.26790499687195,1.40892219543457,1,3,0.994489431381226,FWR,14,0,0,90
2016,Romelu Lukaku,Sunderland,Everton,3,9,2.23430728912354,2.41421437263489,0.109281040728092,0,1,0.108444273471832,FW,15,0,0,90
2016,Sadio Mané,Chelsea,Liverpool,0,1,0.037532877177,0.298896670341492,0.227453261613846,0,1,0.0339105352759361,FWR,14,0,0,90
2016,Raheem Sterling,Manchester City,Bournemouth,1,5,1.32734990119934,1.99872851371765,0.0108983786776662,1,1,0.660480260848999,AMR,11,0,0,90
2016,Leroy Sané,Manchester City,Bournemouth,0,1,0.0289128590375185,0.0289128590375185,0,0,0,0,Sub,17,0,0,17
2016,Romelu Lukaku,Everton,Middlesbrough,1,1,0.577963411808014,0.844881415367126,0.0460456386208534,1,2,0.220872357487679,FW,15,0,0,68
2016,Marcus Rashford,Watford,Manchester United,1,2,0.583753287792206,0.642351448535919,0.0585981793701649,0,0,0,AML,13,0,0,90
2016,Son Heung-Min,Tottenham,Sunderland,0,7,0.337941527366638,0.544734418392181,0.147687643766403,0,5,0.408049732446671,AML,13,0,0,90
2016,Harry Kane,Tottenham,Sunderland,1,3,1.07998621463776,1.37856018543243,0,0,5,0.298574030399323,FW,15,0,0,88
2016,Marcus Rashford,Manchester United,Leicester,1,3,1.43269336223602,1.06286859512329,0.533212304115295,0,0,0,AML,13,0,0,85
2016,Son Heung-Min,Middlesbrough,Tottenham,2,4,0.23877939581871,0.329448610544205,0.0906691998243332,0,2,0.0737461894750595,FWL,16,0,0,90
2016,Raheem Sterling,Swansea,Manchester City,1,2,0.635244905948639,0.803553938865662,0.131511434912682,0,1,0.0367975868284702,MR,8,1,0,90
2016,Sadio Mané,Liverpool,Hull,1,6,0.372871428728104,1.25582313537598,0.709371984004974,0,3,0.315278947353363,FWR,14,0,0,90
2016,Romelu Lukaku,Bournemouth,Everton,0,2,0.463091909885406,0.091202087700367,0,0,2,0.0744197517633438,FW,15,0,0,90
2016,Romelu Lukaku,Everton,Crystal Palace,1,3,0.143813744187355,0.75538033246994,0.545385479927063,0,2,0.132754638791084,FW,15,0,0,90
2016,Sadio Mané,Swansea,Liverpool,0,3,0.289101123809814,0.317327976226807,0.0282268766313791,0,0,0,FWR,14,0,0,90
2016,Marcus Rashford,Manchester United,Stoke,0,0,0,0.637926042079926,0.618380486965179,0,2,0.521356642246246,AML,13,0,0,90
2016,Son Heung-Min,Tottenham,Manchester City,0,4,0.17979484796524,0.651867866516113,0.124548047780991,1,2,0.472073048353195,FW,15,0,0,90
2016,Raheem Sterling,Tottenham,Manchester City,0,1,0.0134291267022491,0.0134291267022491,0,0,0,0,AML,13,1,0,88
2016,Leroy Sané,Tottenham,Manchester City,0,0,0,0.0956468731164932,0.0956468731164932,0,0,0,Sub,17,0,0,2
2016,Leroy Sané,Manchester City,Everton,0,1,0.0677693039178848,0.267662197351456,0.0726640820503235,0,1,0.127228796482086,MR,8,0,0,73
2016,Raheem Sterling,Manchester City,Everton,0,1,0.0241339281201363,0.534622967243195,0.480720907449722,0,1,0.0297681055963039,ML,10,0,0,90
2016,Romelu Lukaku,Manchester City,Everton,1,2,0.129177957773209,0.0836669728159904,0,0,0,0,FW,15,0,0,90
2016,Son Heung-Min,West Bromwich Albion,Tottenham,0,1,0.0319639146327972,0.19913524389267,0.0840424373745918,0,1,0.0831288993358612,Sub,17,0,0,16
2016,Sadio Mané,Liverpool,Manchester United,0,0,0,0.0350139364600182,0.0350139364600182,0,0,0,FWR,14,0,0,90
2016,Marcus Rashford,Liverpool,Manchester United,0,0,0,0.405706018209457,0.405706018209457,0,0,0,AMR,11,0,0,78
2016,Son Heung-Min,Bournemouth,Tottenham,0,1,0.0888631120324135,0.13964469730854,0,0,1,0.0507815890014172,FW,15,0,0,64
2016,Romelu Lukaku,Burnley,Everton,0,2,0.0464208908379078,0.180575147271156,0.0181785169988871,1,5,0.115975730121136,FW,15,0,0,90
2016,Sadio Mané,Liverpool,West Bromwich Albion,1,2,0.471098959445953,1.26912891864777,0.624407649040222,1,3,0.303522288799286,FWR,14,0,0,90
2016,Leroy Sané,Manchester City,Southampton,0,0,0,0.687743782997131,0.194510966539383,1,2,0.512845158576965,MR,8,0,0,90
2016,Raheem Sterling,Manchester City,Southampton,0,2,0.069504901766777,0.297289907932281,0.18974757194519,0,2,0.0970141962170601,ML,10,0,0,90
2016,Marcus Rashford,Chelsea,Manchester United,0,2,0.0858297273516655,0.332583487033844,0.246753752231598,0,0,0,AMR,11,0,0,90
2016,Mohamed Salah,Roma,Udinese,1,5,1.57341992855072,3.21969532966614,0.465344041585922,0,4,1.23384821414948,FWR,14,0,0,90
2016,Federico Chiesa,Juventus,Fiorentina,0,0,0,0,0,0,0,0,FWR,14,0,0,47
2016,Mohamed Salah,Cagliari,Roma,0,3,0.174627378582954,1.01024854183197,0.690547049045563,0,3,0.222318083047867,FWR,14,0,0,90
2016,Mohamed Salah,Roma,Sampdoria,1,4,0.799231112003326,1.57476317882538,0.322697579860687,0,6,0.886159300804138,FWR,14,0,0,90
2016,Mohamed Salah,Fiorentina,Roma,0,1,0.0511810593307018,0.396827131509781,0.34564608335495,0,0,0,FWR,14,0,0,68
2016,Mohamed Salah,Roma,Crotone,1,1,0.30278405547142,1.30062210559845,0.263002723455429,1,3,0.734835267066956,AMR,11,0,0,67
2016,Federico Chiesa,Udinese,Fiorentina,0,0,0,0,0,0,0,0,Sub,17,0,0,12
2016,Mohamed Salah,Torino,Roma,0,3,0.145372033119202,0.575374722480774,0.364240497350693,0,2,0.0958263278007507,AMR,11,0,0,90
2016,Mohamed Salah,Roma,Inter,0,3,0.723808467388153,1.62615406513214,0.682631850242615,0,4,0.252052366733551,AMR,11,0,0,71
2016,Mohamed Salah,Napoli,Roma,1,2,0.445770174264908,1.28773963451385,0.268393129110336,1,4,0.614008188247681,AMR,11,0,0,90
2016,Mohamed Salah,Roma,Palermo,1,1,0.375606089830399,1.07098186016083,0.177421376109123,1,4,0.59211403131485,AMR,11,1,0,90
2016,Serge Gnabry,Werder Bremen,Augsburg,0,2,0.103394478559494,0.552421510219574,0,0,1,0.44902703166008,AML,13,0,0,90
2016,Kingsley Coman,Bayern Munich,Ingolstadt,0,1,0.0353192277252674,0.0353192277252674,0,0,0,0,FWR,14,0,0,46
2016,Serge Gnabry,Borussia M.Gladbach,Werder Bremen,1,1,0.0857891663908958,0.390287399291992,0,0,4,0.390964806079865,ML,10,0,0,90
2016,Serge Gnabry,Werder Bremen,Mainz 05,0,1,0.0187059920281172,0.392349869012833,0.039069015532732,0,2,0.334574848413467,AML,13,0,0,90
2016,Kingsley Coman,Bayern Munich,Hertha Berlin,0,0,0,0,0,0,0,0,Sub,17,0,0,13
2016,Kingsley Coman,Hamburger SV,Bayern Munich,0,1,0.0406836830079556,0.0406836830079556,0.0406836830079556,0,0,0,FWL,16,0,0,61
2016,Serge Gnabry,Werder Bremen,Wolfsburg,0,3,0.071188323199749,0.357464462518692,0,1,5,0.286276131868362,ML,10,0,0,90
2016,Kingsley Coman,Bayern Munich,FC Cologne,0,1,0.0195661522448063,0.470363885164261,0.226258337497711,0,3,0.224539399147034,FWL,16,0,0,72
2016,Serge Gnabry,Darmstadt,Werder Bremen,1,4,0.433720767498016,0.416513502597809,0.0673734769225121,0,0,0,ML,10,0,0,90
2016,Kingsley Coman,Eintracht Frankfurt,Bayern Munich,0,3,0.665861546993256,0.677452027797699,0,0,1,0.0115905161947012,FWL,16,0,0,66
2016,Serge Gnabry,Werder Bremen,Bayer Leverkusen,0,0,0,0.0130034862086177,0,0,1,0.0130034862086177,ML,10,0,0,44
2016,Serge Gnabry,RasenBallsport Leipzig,Werder Bremen,1,3,0.858498930931091,0.789250791072845,0,0,2,0.0302107371389866,ML,10,0,0,90
2016,Mikel Oyarzabal,Real Sociedad,Real Madrid,0,2,0.0938105136156082,0.0938105136156082,0,0,0,0,AMR,11,0,0,90
2016,Mikel Oyarzabal,Osasuna,Real Sociedad,0,2,0.135830029845238,0.71483039855957,0.579000413417816,1,1,0.579000413417816,AML,13,0,0,85
2016,Mikel Oyarzabal,Real Sociedad,Espanyol,0,1,0.0254522785544395,0.0254522785544395,0,0,0,0,FWR,14,0,0,90
2016,Neymar,Barcelona,Alaves,0,3,0.278115302324295,0.393331557512283,0.10857579857111,1,4,0.211881086230278,FWL,16,0,0,90
2016,Neymar,Leganes,Barcelona,1,2,0.68993479013443,0.918238639831543,0.0985128134489059,0,2,0.246217980980873,FWL,16,1,0,90
2016,Mikel Oyarzabal,Villarreal,Real Sociedad,0,1,0.0437224134802818,0.0862612947821617,0.0425388813018799,0,0,0,AML,13,0,0,82
2016,Mikel Oyarzabal,Real Sociedad,Las Palmas,0,0,0,0.783232629299164,0.251322627067566,1,4,0.639609694480896,FWL,16,0,0,90
2016,Neymar,Barcelona,Atletico Madrid,0,5,0.220725923776627,0.323198407888412,0.13190171122551,0,3,0.144043624401093,FWL,16,0,0,90
2016,Mikel Oyarzabal,Eibar,Real Sociedad,0,0,0,0,0,0,0,0,Sub,17,0,0,24
2016,Neymar,Sporting Gijon,Barcelona,2,5,1.61284387111664,2.76503777503967,1.21380531787872,0,0,0,FWL,16,0,0,90
2016,Mikel Oyarzabal,Real Sociedad,Real Betis,0,2,0.0946674197912216,0.80480819940567,0.125666335225105,1,1,0.584474444389343,FWL,16,0,0,90
2016,Neymar,Celta Vigo,Barcelona,1,4,0.939651191234589,0.188359260559082,0.0784128084778786,0,0,0,FWL,16,0,0,90
2016,Neymar,Barcelona,Deportivo La Coruna,0,4,0.537348449230194,3.05726027488708,1.97999513149261,2,5,1.31345200538635,FWL,16,0,0,90
2016,Mikel Oyarzabal,Athletic Club,Real Sociedad,0,1,0.0332738719880581,0.0332738719880581,0,0,0,0,FWL,16,0,0,89
2016,Neymar,Valencia,Barcelona,0,3,0.172364965081215,0.413101196289062,0.101481199264526,0,2,0.215390637516975,FWL,16,1,0,90
2016,Mikel Oyarzabal,Real Sociedad,Alaves,0,2,0.14712730050087,0.897617518901825,0.269165128469467,1,2,0.570410311222076,AML,13,0,0,89
2016,Kylian Mbappe-Lottin,Monaco,Guingamp,0,0,0,0,0,0,0,0,FW,15,0,0,40
2016,Kylian Mbappe-Lottin,Metz,Monaco,0,0,0,0.395793408155441,0,1,1,0.395793408155441,Sub,17,0,0,6
2016,Kylian Mbappe-Lottin,Monaco,Montpellier,1,3,0.295697599649429,0.568437814712524,0,1,4,0.272740185260773,AML,13,0,0,90
2016,Son Heung-Min,Tottenham,Leicester,0,2,0.0902594551444054,0.207989141345024,0.129420787096024,0,2,0.07856834679842,AML,13,1,0,90
2016,Raheem Sterling,West Bromwich Albion,Manchester City,0,4,0.296866118907928,0.519429326057434,0.0473176576197147,0,2,0.175245553255081,AMR,11,0,0,79
2016,Marcus Rashford,Manchester United,Burnley,0,2,0.0855810269713402,0.31527242064476,0.280474960803986,0,1,0.0976195633411407,AML,13,0,0,84
2016,Sadio Mané,Crystal Palace,Liverpool,0,3,0.624938249588013,1.20794212818146,0.33554470539093,0,3,0.269359648227692,FWR,14,0,0,90
2016,Romelu Lukaku,Everton,West Ham,1,4,0.750117003917694,1.55245351791382,0.124517880380154,1,2,0.728416204452515,FW,15,0,0,90
2016,Romelu Lukaku,Chelsea,Everton,0,0,0,0,0,0,0,0,FW,15,0,0,90
2016,Son Heung-Min,Arsenal,Tottenham,0,0,0,0.0823661908507347,0.0823661908507347,0,0,0,AMC,12,0,0,90
2016,Harry Kane,Arsenal,Tottenham,1,3,0.940336763858795,0.179167911410332,0,0,0,0,FW,15,0,0,76
2016,Sadio Mané,Liverpool,Watford,2,3,0.741775631904602,1.15841519832611,0.466491281986237,0,2,0.174474000930786,FWR,14,0,0,66
2016,Marcus Rashford,Manchester United,Arsenal,0,1,0.0529864616692066,0.047239888459444,0,0,1,0.047239888459444,FW,15,0,0,90
2016,Sadio Mané,Southampton,Liverpool,0,3,0.363021701574326,0.518914580345154,0.247605860233307,0,0,0,FWR,14,0,0,90
2016,Romelu Lukaku,Everton,Swansea,0,3,0.672810733318329,0.998817086219788,0,0,1,0.326006352901459,FW,15,0,0,90
2016,Raheem Sterling,Crystal Palace,Manchester City,0,1,0.433474063873291,0.683093249797821,0.223486676812172,0,1,0.0261324886232615,AMR,11,0,0,90
2016,Harry Kane,Tottenham,West Ham,2,3,1.29331421852112,0.532145380973816,0,0,0,0,FW,15,0,0,90
2016,Son Heung-Min,Tottenham,West Ham,0,0,0,0,0,0,0,0,Sub,17,0,0,14
2016,Raheem Sterling,Burnley,Manchester City,0,1,0.135888993740082,0.419209957122803,0,0,5,0.337952673435211,AMR,11,0,0,61
2016,Leroy Sané,Burnley,Manchester City,0,1,0.0183845460414886,0.653454899787903,0.635070323944092,0,1,0.0220398753881454,Sub,17,0,0,29
2016,Sadio Mané,Liverpool,Sunderland,0,3,0.200544193387032,0.355598956346512,0.237493798136711,0,1,0.0142438383772969,FWR,14,0,0,90
2016,Son Heung-Min,Chelsea,Tottenham,0,1,0.0205406565219164,0.148377045989037,0.148377045989037,0,0,0,AML,13,0,0,66
2016,Harry Kane,Chelsea,Tottenham,0,1,0.0364073030650616,0.149760290980339,0.0474119335412979,0,2,0.0776493847370148,FW,15,0,0,90
2016,Romelu Lukaku,Southampton,Everton,0,1,0.0596375875174999,0.0617219507694244,0,0,1,0.0617219507694244,FW,15,1,0,90
2016,Marcus Rashford,Manchester United,West Ham,0,1,0.201605275273323,0.659533619880676,0.457928359508514,0,0,0,AML,13,0,0,67
2016,Federico Chiesa,Fiorentina,Sampdoria,0,0,0,0,0,0,0,0,Sub,17,0,0,24
